bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,coverImg,bbeScore,bbeVotes,price,goodreads_book_id
989097.Discworld_Companion,Discworld Companion,Discworld Companion Books,"Terry Pratchett, Stephen Briggs",3.92,"For the newcomer and old hand alike the Discworld can be a fatally confusing planet. From the great city of Ankh-Morpork, featuring a river you could skateboard across if it wasn't so knobbly, to the distant Ramtop Mountains and mysterious Counterweight Continent, the Discworld is a place where Death waits around every corner... For safety's sake, you need a guide. And here it is. Terry Pratchett and Stephen Briggs, respectively chronicler and cartographer of the Discworld, have the produced the one and only definitive guide to the flat planet - its geography, its flora and fauna, its (many) religions, its architecture and customs, and its outstanding personalities. What is a Quantum Weather Butterfly? What does Death keep on his desk? Would you drink Bearhugger's Homeopathic Sipping Whiskey? How are the kings of Ankh-Morpork different from the kings of Ankh? Everything the Discworld traveller needs to know is contained in these pages, together with useful maps and illustrations of significant places and emblems in this unique world.",English,9780575600300,"['Fantasy', 'Fiction', 'Reference', 'Humor', 'Comedy', 'Science Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Academic', 'Audiobook']",[],Paperback,First Vista Edition,477,Vista,1997,10/30/94,[],2494,"['855', '808', '649', '134', '48']",93.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180031202l/989097.jpg,99,1,0.85,989097.0
6238142-ludivine,Ludivine,Les gens de Mogador #2,Élisabeth Barbier,3.84,"Du haut de ses seize ans Ludivine Peyrissac ne veut pas s'incliner devant le charme ravageur et les airs moqueurs de Frédéric Vernet. Pas plus que ses sentiments, la jeune fille ne peut cacher son irritation vis-à-vis du jeune maître de Mogador qui passe dans tout Tarascon pour le meilleur parti de la région. Pourquoi envisager si tôt une union alors que la fortune de Ludivine lui permettrait de vivre à sa guise ? C'est précisément cette indépendance d'esprit qui plaît à Frédéric et enchante Julia, sa mère, qui reconnaît en elle la fougue de ses jeunes années. Ludivine est accueillie à bras ouverts dans le clan Vernet et le mariage décidé. Mais sous ses dehors légers, Frédéric est un homme exigeant. Il ne se contentera pas toujours d'une jeune femme avide de plaisirs : Mogador va se charger de la transformer.",French,9782266143622,[],[],Mass Market Paperback,,708,Pocket,May 6th 2004,10/29/47,[],31,"['8', '11', '11', '1', '0']",97.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330184836l/6238142.jpg,100,1,6.67,6238142.0
722192.The_Power_of_Two,The Power of Two,T*Witches #1,"H.B. Gilmour, Randi Reisfeld (Goodreads Author)",3.6,"Camryn and Alex are twin witches that were raised far apart by adoptive parents, each totally unaware of the existence of the other. That is, until their fourteenth year when a tragedy brings them together. Who are they? What are these scary witchy powers they've hidden from themselves and others? Why have they been brought together now? And by who?",English,9780613366106,"['Fantasy', 'Young Adult', 'Witches', 'Paranormal', 'Magic', 'Urban Fantasy', 'Childrens', 'Fiction', 'Supernatural', 'Middle Grade']",[],Hardcover,,320,Turtleback Books,May 3rd 2001,05/01/01,[],1863,"['446', '519', '654', '190', '54']",87.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328054507l/722192.jpg,95,2,,722192.0
6773700-the-midnight-hunt,The Midnight Hunt,Midnight Hunters #1,L.L. Raand,3.98,"Medic Ryon Drake has never been good at following protocol, so she doesn't think twice about rendering emergency care when a young girl's life is at stake--even if the girl is in the throes of Werefever and any sane mortali should know better. It isn't the bright shining pain of the bite or even the wrenching agonies of the fever that convinces her everything in her life has changed. It's the way she feels about the blonde with the silver-blue eyes leaning over her hospital bed when she finally wakes up. Sylvan, the Alpha of the Adirondack Timberlake Pack—the one woman Drake can't have. And the only one she wants. The first in the Midnight Hunters series.",English,9781602821408,"['Lesbian', 'LGBT', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Werewolves', 'Supernatural', 'Vampires', 'Paranormal Romance']",[],Paperback,,288,Bold Strokes Books,March 16th 2010,,[],2438,"['988', '758', '445', '159', '88']",90.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387175669l/6773700.jpg,73,1,17.27,6773700.0
13419938-beechi,"Beechi: Bulletsu, Bombsu, Bhagavadgeete",,Keshava Rao B.S.,4.13,"Collection of Beechi's speeches, articles and incidents in his life",Kannada,9999999999999,['Humor'],[],Paperback,,206,Ankita Pustaka,2002,,[],104,"['45', '39', '12', '5', '3']",92.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327189568l/13419938.jpg,100,1,,13419938.0
31554.A_Brief_Tour_of_Human_Consciousness,A Brief Tour of Human Consciousness: From Impostor Poodles to Purple Numbers,,V.S. Ramachandran,4.01,"How can some people come to believe that their poodle is an impostor? Or see colors in numbers? Internationally acclaimed neuroscientist, V.S. Ramachandran, now shares his unique insight into human consciousness in an entertaining, inspiring, and intellectually dazzling brief tour of the ultimate frontier—the thoughts in our heads.A Brief Tour of Human Consciousness is made up of five investigations of the greatest mysteries of the brain. The first chapter shows how amputees feel pain in limbs they no longer have as it introduces the great revolution of our age: neuroscience. The second chapter walks through the way what we see determines our thoughts, and demonstrates the counterintuitive point that believing is in fact seeing. The third chapter takes a leap beyond cutting edge science to audaciously set out a general theory of beauty, explaining why, the world over, cultures have fundamentally similar notions of what is attractive. The fourth chapter explores the bizarre world of synesthetes, people who see colors in numbers, textures in smells, sounds in sights, and flavors in sounds. Finally, V. S. Ramachandran one of the foremost brain researchers in the world today, sums up the implications of the revolution in our understanding of consciousness, to make a fascinating argument about our essential sense of self and its distributed nature.",English,9780131872783,"['Science', 'Nonfiction', 'Psychology', 'Neuroscience', 'Philosophy', 'Brain', 'Popular Science', 'Medicine', 'Biology', 'Medical']",[],Paperback,,208,Plume,July 26th 2005,December 4th 2003,[],3516,"['1411', '1124', '682', '212', '87']",91.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432093693l/31554._SY475_.jpg,5,1,3.84,31554.0
21045814-the-unpredictable-consequences-of-love,The Unpredictable Consequences of Love,,Jill Mansell,3.9,"In the idyllic seaside town of St Carys, Sophie is putting the past firmly behind her.When Josh arrives in St Carys to run the family hotel, he can't understand why Sophie has zero interest in letting any man into her life. He also can't understand how he's been duped into employing Sophie's impulsive friend Tula, whose crush on him is decidedly unrequited.St Carys has more than its fair share of characters, including the charming but utterly feckless surfer Riley Bryant, who has a massive crush on Tula. Riley's aunt is superstar author Marguerite Marshall. And Marguerite has designs on Josh's grandfather...who in turn still adores his glamorous ex-wife, Dot...Just how many secrets can one seaside town keep?",English,9780755355938,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Adult', 'Womens Fiction', 'Audiobook', 'British Literature', 'Humor']","['Sophie Wells', 'Josh Strachan', 'Tula Kaye', 'Riley Bryant']",Paperback,,400,Headline Review,June 5th 2014,01/30/14,[],6592,"['1824', '2731', '1694', '271', '72']",95.0,"['Cornwall, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420776248l/21045814.jpg,63,1,0.84,21045814.0
12654904-me-and-my-bitch,Me and My Bitch,,David Weaver (Goodreads Author),4.38,"What happens when a double crossed female goes to the greatest of all possible extremes to get her revenge? Absolute mayhem! This is a mind twisting, unpredictable, romantic nail biter from the same veins that brought you ""A Love Story,"" and ""Bankroll Squad!""The twists in this book are guaranteed to blow you away all the way to the last paragraph. This is that ""I didn't see that coming"" at it's very BEST!Brisk paced and will not bore you even for a minute. A winding roller coaster of events that will leave you speechless. You will not forget this story!!",,2940013346826,['Urban'],[],Kindle Edition,,160,,,09/12/11,[],456,"['290', '87', '52', '18', '9']",94.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328317157l/12654904.jpg,179,2,,12654904.0
15760.Dark_Rivers_of_the_Heart,Dark Rivers of the Heart,,Dean Koontz (Goodreads Author),3.91,"Do you dare step through the red door? Spencer Grant had no idea what drew him to the bar with the red door. He thought he would just sit down, have a slow beer or two, and talk to a stranger. He couldn't know that it would lead to a narrow escape from a bungalow targeted by a SWAT team. Or that it would leave him a wanted man. Now he is on the run from mysterious and ruthless men. He is in love with a woman he knows next to nothing about. And he is hiding from a past he can't fully remember. On his trail is a shadowy security agency that answers to no one--including the U.S. government--and a man who considers himself a compassionate Angel of Death. But worst of all, Spencer Grant is on a collision course with inner demons he thought he'd buried years ago--inner demons that could destroy him if his enemies don't first.",English,9780553582895,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Science Fiction', 'Action', 'Fantasy', 'Crime']",['Spencer Grant'],Paperback,,582,Bantam,August 1st 2000,10/30/94,['Prometheus Hall of Fame Award Nominee for Best Novel (1995)'],17494,"['5514', '6315', '4534', '885', '246']",94.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921195l/15760.jpg,122,2,6.42,15760.0
43805.Servant_of_the_Bones,Servant of the Bones,,Anne Rice,3.73,"SERVANT OF THE BONES is Anne Rice's new electrifying novel, with a hero as mesmerising, seductive and ambivalent as the vampire Lestat. Azriel is a restless Jewish spirit, born almost 2500 years ago in Babylon, who can be called forth by whoever holds and understands the arcane mystery of the casket of golden bones he is tied to. Caught between heaven and earth, Azriel is forced to bear witness to the long and troubled history of Western civilisation, from the household of an ancient Greek philosopher and the deathbed of Alexander the Great, to the Mongolian Steppes and fourteenth century Strasbourg, where Jews were made scapegoats for the Black Death. And finally in the present, he is summoned to witness and avenge a brutal murder on Fifth Avenue. The dead woman is Esther, step-daughter of Gregory Belkin, fanatical messianic leader of a worldwide cult, the Temple of the Mind. Belkin is known to be the son of Holocaust victims, but he has a secret history which binds Azriel's fate to his. SERVANT OF THE BONES is as rich and terrifying, as sensual and violent as any novel by Anne Rice - an enthralling epic which conjures up more than two thousand years of Jewish history and penetrates the unfolding mysteries of evil, redemption, life and death.",English,9780963192561,"['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Vampires', 'Historical Fiction', 'Urban Fantasy', 'Historical', 'Gothic']",[],Hardcover,Deluxe Edition,416,B E Trice Pub,March 1999,10/28/96,['Locus Award Nominee for Best Horror / Dark Fantasy Novel (1997)'],28426,"['7791', '8919', '8516', '2518', '682']",89.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312931293l/43805.jpg,364,7,30.35,43805.0
