book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,goodreads_id_clean
6253,24709327,24709327,44329910,20,9385152149,9789385152150.0,Amish Tripathi,2015.0,,"Scion of Ikshvaku (RamChandra, #1)",eng,3.69,12458,16762,1379,443,1413,4974,6029,3903,https://images.gr-assets.com/books/1428418378m/24709327.jpg,https://images.gr-assets.com/books/1428418378s/24709327.jpg,24709327.0
4685,12872236,12872236,18024855,64,61692042,9780061692050.0,Richard Ford,2012.0,Canada,Canada,eng,3.49,18396,21456,3213,885,2694,6618,7567,3692,https://images.gr-assets.com/books/1327927048m/12872236.jpg,https://images.gr-assets.com/books/1327927048s/12872236.jpg,12872236.0
1732,209194,209194,995869,149,7151667,9780007151660.0,Agatha Christie,1924.0,The Man in the Brown Suit,The Man in the Brown Suit,eng,3.97,56053,58728,1072,1390,2894,13344,19619,21481,https://images.gr-assets.com/books/1390018729m/209194.jpg,https://images.gr-assets.com/books/1390018729s/209194.jpg,209194.0
4743,6441654,6441654,6631596,11,470484233,9780470484230.0,"Rebecca Housel, J. Jeremy Wisnewski, William Irwin",2009.0,"Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality (The Blackwell Philosophy and Pop Culture Series)","Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality",en-US,4.39,18027,18054,39,444,651,2157,2953,11849,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6441654.0
4522,25451555,25451555,45216378,17,1632154382,9781632154380.0,"Brian K. Vaughan, Fiona Staples",2015.0,"Saga, Volume Five","Saga, Vol. 5 (Saga, #5)",eng,4.44,29429,30292,2570,154,389,2442,10419,16888,https://images.gr-assets.com/books/1486028990m/25451555.jpg,https://images.gr-assets.com/books/1486028990s/25451555.jpg,25451555.0
6341,71292,71292,2150655,98,752866052,9780752866060.0,"René Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge",1960.0,Astérix le Gaulois,"Asterix the Gaul (Asterix, #1)",eng,4.18,16011,17468,339,150,499,3061,6054,7704,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,71292.0
577,84981,84981,1955922,127,374480095,9780374480100.0,Natalie Babbitt,1975.0,Tuck Everlasting,Tuck Everlasting,eng,3.85,174280,184056,7187,3823,12462,46988,64213,56570,https://images.gr-assets.com/books/1445184695m/84981.jpg,https://images.gr-assets.com/books/1445184695s/84981.jpg,84981.0
5203,651260,651260,418831,37,345383273,9780345383270.0,David Eddings,1992.0,Domes of Fire,"Domes of Fire (The Tamuli, #1)",,3.98,22206,23079,147,236,1117,5602,7948,8176,https://images.gr-assets.com/books/1388212602m/651260.jpg,https://images.gr-assets.com/books/1388212602s/651260.jpg,651260.0
6364,28923,28923,3333606,74,571225403,9780571225410.0,Kazuo Ishiguro,2000.0,When We Were Orphans,When We Were Orphans,eng,3.45,13886,17018,1616,436,2011,6325,6023,2223,https://images.gr-assets.com/books/1465820100m/28923.jpg,https://images.gr-assets.com/books/1465820100s/28923.jpg,28923.0
440,7315573,7315573,8842841,140,525951652,9780525951650.0,Ken Follett,2010.0,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng,4.26,168911,190478,11859,2009,5158,24893,68375,90043,https://images.gr-assets.com/books/1470384630m/7315573.jpg,https://images.gr-assets.com/books/1470384630s/7315573.jpg,7315573.0
2751,58962,58962,449499,99,312941919,9780312941920.0,Michael Connelly,1997.0,Trunk Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",eng,4.15,34702,40002,1105,105,626,6805,18196,14270,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,58962.0
7488,11808919,11808919,15872322,24,,9780983475440.0,Marie Force,2011.0,"Maid for Love (Gansett Island Series, #1)","Maid for Love (Gansett Island Series, #1)",eng,3.98,14989,19754,1229,349,1021,4232,7220,6932,https://images.gr-assets.com/books/1402425002m/11808919.jpg,https://images.gr-assets.com/books/1402425002s/11808919.jpg,11808919.0
5273,49011,49011,47950,46,014017821X,9780140178210.0,Angela Carter,1979.0,The Bloody Chamber & Other Stories,The Bloody Chamber and Other Stories,eng,4.02,20438,25183,2060,408,1333,4853,9362,9227,https://images.gr-assets.com/books/1388633104m/49011.jpg,https://images.gr-assets.com/books/1388633104s/49011.jpg,49011.0
5654,12922320,12922320,18077623,46,,,Karin Slaughter,2012.0,Criminal,"Criminal (Will Trent, #6)",eng,4.21,18592,21262,1796,171,522,3134,8309,9126,https://images.gr-assets.com/books/1334414049m/12922320.jpg,https://images.gr-assets.com/books/1334414049s/12922320.jpg,12922320.0
4000,5201089,5201089,6627900,43,1741663016,9781741663010.0,John Flanagan,2008.0,The Kings of Clonmel,"The Kings of Clonmel (Ranger's Apprentice, #8)",eng,4.29,30299,34595,971,323,715,4756,11454,17347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,5201089.0
6034,6373717,6373717,6561348,16,525421556,9780525421560.0,Nina LaCour,2009.0,Hold Still,Hold Still,en-US,3.99,16238,17546,1440,456,947,3584,5967,6592,https://images.gr-assets.com/books/1394240099m/6373717.jpg,https://images.gr-assets.com/books/1394240099s/6373717.jpg,6373717.0
583,10637766,10637766,14158688,65,1442426640,9781442426640.0,Becca Fitzpatrick,2011.0,Silence ,"Silence (Hush, Hush, #3)",eng,4.16,190722,197338,7290,4217,9307,32161,55811,95842,https://images.gr-assets.com/books/1362408152m/10637766.jpg,https://images.gr-assets.com/books/1362408152s/10637766.jpg,10637766.0
9931,10940958,10940958,15858219,45,718154959,9780718154950.0,Nicci French,2011.0,Blue Monday,"Blue Monday (Frieda Klein, #1)",eng,3.77,8535,11260,1112,224,697,3068,4765,2506,https://images.gr-assets.com/books/1377323978m/10940958.jpg,https://images.gr-assets.com/books/1377323978s/10940958.jpg,10940958.0
7052,130916,130916,126092,38,60598328,9780060598330.0,Patricia Gaffney,1999.0,The Saving Graces,The Saving Graces,en-US,3.78,13969,14327,663,196,840,4437,5283,3571,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,130916.0
8159,103111,103111,99407,26,785122133,9780785122140.0,"Chris Claremont, John Byrne",1983.0,,X-Men: The Dark Phoenix Saga,eng,4.26,11113,12235,384,87,349,1803,3995,6001,https://images.gr-assets.com/books/1409504820m/103111.jpg,https://images.gr-assets.com/books/1409504820s/103111.jpg,103111.0
9897,655601,655601,4413361,22,1416927247,9781416927240.0,Robert Muchamore,2006.0,Divine Madness,"Divine Madness (Cherub, #5)",eng,4.17,9640,10694,273,77,378,1861,3729,4649,https://images.gr-assets.com/books/1283561989m/655601.jpg,https://images.gr-assets.com/books/1283561989s/655601.jpg,655601.0
2250,10538,10538,2252299,63,076791936X,9780767919360.0,Bill Bryson,2006.0,The Life and Times of The Thunderbolt Kid: A Memoir,The Life and Times of the Thunderbolt Kid,,3.93,42680,46658,4015,709,2386,10824,18212,14527,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10538.0
4641,30065028,29363501,50435175,49,,,J.K. Rowling,2016.0,Fantastic Beasts and Where to Find Them: The Original Screenplay,Fantastic Beasts and Where to Find Them: The Original Screenplay,eng,4.41,18290,42210,4692,323,721,4257,13024,23885,https://images.gr-assets.com/books/1476913365m/30065028.jpg,https://images.gr-assets.com/books/1476913365s/30065028.jpg,30065028.0
9486,16084702,16084702,21885940,5,,,E.L. James,2012.0,,"Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed (Fifty Shades, #2-3)",en-GB,4.41,8227,8268,80,373,307,693,1107,5788,https://images.gr-assets.com/books/1350174326m/16084702.jpg,https://images.gr-assets.com/books/1350174326s/16084702.jpg,16084702.0
4948,2260637,2260637,2300926,60,446195979,9780446195970.0,David Baldacci,2008.0,The Whole Truth,"The Whole Truth (A. Shaw, #1)",eng,4.0,19171,22924,1252,212,737,5067,9753,7155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2260637.0
9921,99713,99713,1101090,10,811200418,9780811200420.0,Lawrence Ferlinghetti,1958.0,A Coney Island of the Mind: Poems,A Coney Island of the Mind,eng,4.16,9376,9445,297,105,348,1620,3231,4141,https://images.gr-assets.com/books/1327958248m/99713.jpg,https://images.gr-assets.com/books/1327958248s/99713.jpg,99713.0
1964,68488,68488,2406151,62,6486010,9780006486020.0,Robin Hobb,2001.0,Fool's Errand,"Fool's Errand (Tawny Man, #1)",eng,4.29,50758,56491,1297,381,1096,7146,21191,26677,https://images.gr-assets.com/books/1360508839m/68488.jpg,https://images.gr-assets.com/books/1360508839s/68488.jpg,68488.0
8244,1233478,1233478,1222082,29,451461991,9780451462000.0,Karen Chance,2008.0,Embrace the Night,"Embrace the Night (Cassandra Palmer, #3)",en-US,4.09,19294,20122,475,218,732,4013,7287,7872,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1233478.0
6591,343881,343881,1154594,44,743234413,9780743234410.0,Tim Winton,1991.0,Cloudstreet,Cloudstreet,eng,3.97,13067,14863,1095,436,954,2670,5338,5465,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,343881.0
8848,278102,278102,1461263,43,440236924,9780440236920.0,Danielle Steel,1987.0,,Kaleidoscope,fre,3.88,11207,11812,280,131,718,3409,3784,3770,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,278102.0
322,14497,14497,16534,152,60557818,9780060557810.0,Neil Gaiman,1996.0,Neverwhere,Neverwhere,eng,4.18,268318,301740,15680,3126,9628,46996,113506,128484,https://images.gr-assets.com/books/1348747943m/14497.jpg,https://images.gr-assets.com/books/1348747943s/14497.jpg,14497.0
