book_id,genres_clean,rating_clean
1,young adult,4.34
1,fiction,4.34
1,dystopia,4.34
1,fantasy,4.34
1,science fiction,4.34
1,romance,4.34
1,adventure,4.34
1,teen,4.34
1,post apocalyptic,4.34
1,action,4.34
2,fantasy,4.44
2,fiction,4.44
2,young adult,4.44
2,magic,4.44
2,childrens,4.44
2,middle grade,4.44
2,adventure,4.44
2,classics,4.44
2,science fiction fantasy,4.44
3,young adult,3.57
3,fantasy,3.57
3,romance,3.57
3,vampires,3.57
3,fiction,3.57
3,paranormal,3.57
3,paranormal romance,3.57
3,supernatural,3.57
3,teen,3.57
3,urban fantasy,3.57
4,classics,4.25
4,fiction,4.25
4,historical fiction,4.25
4,school,4.25
4,literature,4.25
4,young adult,4.25
4,historical,4.25
4,novels,4.25
4,read for school,4.25
4,high school,4.25
5,classics,3.89
5,fiction,3.89
5,school,3.89
5,literature,3.89
5,historical fiction,3.89
5,romance,3.89
5,novels,3.89
5,read for school,3.89
5,high school,3.89
5,american,3.89
6,young adult,4.26
6,romance,4.26
6,fiction,4.26
6,contemporary,4.26
6,realistic fiction,4.26
6,teen,4.26
6,coming of age,4.26
6,drama,4.26
6,novels,4.26
6,love,4.26
7,fantasy,4.25
7,classics,4.25
7,fiction,4.25
7,adventure,4.25
7,young adult,4.25
7,science fiction fantasy,4.25
7,high fantasy,4.25
7,childrens,4.25
7,epic fantasy,4.25
7,novels,4.25
8,classics,3.79
8,fiction,3.79
8,young adult,3.79
8,literature,3.79
8,school,3.79
8,novels,3.79
8,coming of age,3.79
8,american,3.79
8,high school,3.79
8,read for school,3.79
9,fiction,3.85
9,mystery,3.85
9,thriller,3.85
9,suspense,3.85
9,mystery thriller,3.85
9,adventure,3.85
9,crime,3.85
9,historical fiction,3.85
9,novels,3.85
9,adult,3.85
10,classics,4.24
10,fiction,4.24
10,romance,4.24
10,historical fiction,4.24
10,literature,4.24
10,historical,4.24
10,novels,4.24
10,historical romance,4.24
10,classic literature,4.24
10,adult,4.24
11,fiction,4.26
11,historical fiction,4.26
11,contemporary,4.26
11,classics,4.26
11,novels,4.26
11,historical,4.26
11,literature,4.26
11,adult,4.26
11,adult fiction,4.26
11,drama,4.26
12,young adult,4.24
12,dystopia,4.24
12,fiction,4.24
12,fantasy,4.24
12,science fiction,4.24
12,romance,4.24
12,adventure,4.24
12,teen,4.24
12,post apocalyptic,4.24
12,action,4.24
15,nonfiction,4.1
15,classics,4.1
15,history,4.1
15,biography,4.1
15,memoir,4.1
15,historical,4.1
15,holocaust,4.1
15,autobiography,4.1
15,war,4.1
15,world war ii,4.1
16,fiction,4.11
16,mystery,4.11
16,suspense,4.11
16,contemporary,4.11
16,adult,4.11
16,adult fiction,4.11
16,sweden,4.11
16,thriller,4.11
16,crime,4.11
17,young adult,4.3
17,dystopia,4.3
17,fiction,4.3
17,fantasy,4.3
17,science fiction,4.3
17,romance,4.3
17,adventure,4.3
17,teen,4.3
17,post apocalyptic,4.3
17,action,4.3
18,fantasy,4.53
18,young adult,4.53
18,fiction,4.53
18,magic,4.53
18,childrens,4.53
18,adventure,4.53
18,middle grade,4.53
18,classics,4.53
18,science fiction fantasy,4.53
20,young adult,4.03
20,dystopia,4.03
20,fiction,4.03
20,fantasy,4.03
20,science fiction,4.03
20,romance,4.03
20,adventure,4.03
20,teen,4.03
20,post apocalyptic,4.03
20,science fiction fantasy,4.03
21,fantasy,4.46
21,young adult,4.46
21,fiction,4.46
21,magic,4.46
21,childrens,4.46
21,adventure,4.46
21,middle grade,4.46
21,classics,4.46
21,science fiction fantasy,4.46
22,fiction,3.77
22,mystery,3.77
22,young adult,3.77
22,contemporary,3.77
22,fantasy,3.77
22,crime,3.77
22,adult,3.77
22,adult fiction,3.77
22,drama,3.77
22,novels,3.77
23,fantasy,4.37
23,young adult,4.37
23,fiction,4.37
23,magic,4.37
23,childrens,4.37
23,middle grade,4.37
23,adventure,4.37
23,classics,4.37
23,science fiction fantasy,4.37
24,fantasy,4.53
24,young adult,4.53
24,fiction,4.53
24,magic,4.53
24,childrens,4.53
24,adventure,4.53
24,middle grade,4.53
24,classics,4.53
24,science fiction fantasy,4.53
25,fantasy,4.61
25,young adult,4.61
25,fiction,4.61
25,magic,4.61
25,childrens,4.61
25,adventure,4.61
25,middle grade,4.61
25,classics,4.61
25,science fiction fantasy,4.61
26,fiction,3.79
26,mystery,3.79
26,thriller,3.79
26,suspense,3.79
26,mystery thriller,3.79
26,historical fiction,3.79
26,adventure,3.79
26,novels,3.79
26,crime,3.79
26,adult,3.79
27,fantasy,4.54
27,young adult,4.54
27,fiction,4.54
27,magic,4.54
27,childrens,4.54
27,adventure,4.54
27,middle grade,4.54
27,classics,4.54
27,science fiction fantasy,4.54
28,classics,3.64
28,fiction,3.64
28,young adult,3.64
28,school,3.64
28,literature,3.64
28,dystopia,3.64
28,read for school,3.64
28,novels,3.64
28,high school,3.64
28,adventure,3.64
29,classics,3.73
29,plays,3.73
29,fiction,3.73
29,romance,3.73
29,school,3.73
29,drama,3.73
29,read for school,3.73
29,literature,3.73
29,high school,3.73
29,poetry,3.73
31,fiction,4.45
31,historical fiction,4.45
31,historical,4.45
31,adult,4.45
31,adult fiction,4.45
31,contemporary,4.45
31,classics,4.45
31,chick lit,4.45
32,classics,3.84
32,fiction,3.84
32,school,3.84
32,historical fiction,3.84
32,literature,3.84
32,read for school,3.84
32,novels,3.84
32,high school,3.84
32,american,3.84
32,classic literature,3.84
34,romance,3.67
34,fiction,3.67
34,erotica,3.67
34,adult,3.67
34,bdsm,3.67
34,contemporary,3.67
34,chick lit,3.67
34,contemporary romance,3.67
34,erotic romance,3.67
34,adult fiction,3.67
36,young adult,4.12
36,fiction,4.12
36,classics,4.12
36,dystopia,4.12
36,science fiction,4.12
36,fantasy,4.12
36,school,4.12
36,childrens,4.12
36,middle grade,4.12
36,read for school,4.12
37,fantasy,4.19
37,classics,4.19
37,fiction,4.19
37,young adult,4.19
37,childrens,4.19
37,adventure,4.19
37,middle grade,4.19
37,christian,4.19
37,magic,4.19
37,christian fiction,4.19
39,fantasy,4.45
39,fiction,4.45
39,epic fantasy,4.45
39,adult,4.45
39,science fiction fantasy,4.45
39,high fantasy,4.45
39,adventure,4.45
39,dragons,4.45
39,epic,4.45
40,nonfiction,3.51
40,memoir,3.51
40,travel,3.51
40,biography,3.51
40,chick lit,3.51
40,romance,3.51
40,spirituality,3.51
40,contemporary,3.51
40,biography memoir,3.51
40,autobiography,3.51
41,fantasy,4.23
41,young adult,4.23
