genres_clean,avg_rating,book_count
fiction,4.001634138785626,6456
fantasy,4.066905684754522,3096
romance,4.019077392298895,2623
young adult,4.033636757693975,2307
adult,3.986994408201305,2146
contemporary,3.9143331603528804,1927
mystery,3.9654618473895584,1743
classics,4.016531927357938,1707
novels,3.8938201569100785,1657
adventure,4.06660941475827,1572
historical fiction,3.9662154294032024,1374
thriller,3.9620546810273405,1207
literature,3.91735049833887,1204
nonfiction,4.0403700516351115,1162
science fiction,4.015153429602888,1108
historical,4.008309222423146,1106
paranormal,4.063637192342753,1097
magic,4.110104493207942,957
adult fiction,3.84227463312369,954
childrens,4.0919535374868,947
humor,3.9887433439829603,939
crime,3.985010799136069,926
science fiction fantasy,4.080756756756757,925
suspense,3.9806541019955657,902
mystery thriller,3.9711573033707865,890
chick lit,3.9375519630484987,866
supernatural,4.052748466257668,815
urban fantasy,4.098618090452261,796
middle grade,4.066312684365782,678
literary fiction,3.842530864197531,648
horror,3.9756414219474494,647
teen,3.960993690851735,634
biography,4.020752688172043,558
paranormal romance,4.104891696750903,554
drama,3.9379963898916968,554
contemporary romance,4.060108695652174,552
realistic fiction,3.9511787072243347,526
history,4.06382,500
british literature,3.920838445807771,489
vampires,4.118012684989429,473
memoir,4.008227571115974,457
high fantasy,4.1455164835164835,455
philosophy,4.024519015659956,447
american,3.9066666666666667,435
school,3.924421593830334,389
dystopia,4.011070496083551,383
new adult,4.1325806451612905,372
juvenile,4.065276243093923,362
short stories,4.04008356545961,359
biography memoir,3.9828612716763003,346
war,4.09203488372093,344
action,4.0998791540785495,331
graphic novels,4.223313069908815,329
religion,4.0649999999999995,324
psychology,4.008490566037736,318
epic fantasy,4.139872611464968,314
comedy,3.989137380191693,313
detective,4.02084142394822,309
comics,4.236786885245902,305
family,3.9435051546391753,291
autobiography,3.986103448275862,290
young adult fantasy,4.102170818505338,281
erotica,4.122014652014652,273
self help,4.031003717472118,269
20th century,3.96381679389313,262
politics,4.031506276150627,239
spirituality,4.101932773109244,238
science,4.024388185654009,237
animals,4.101659574468085,235
christian,4.159132420091324,219
coming of age,3.8804166666666666,216
poetry,4.1095693779904305,209
graphic novels comics,4.229660194174757,206
mythology,4.119154228855722,201
epic,4.12984375,192
inspirational,4.1016216216216215,185
post apocalyptic,3.9944262295081967,183
19th century,3.924606741573034,178
speculative fiction,4.017683615819209,177
picture books,4.205517241379311,174
business,4.008402366863905,169
