feature,importance
num__external_numratings_log,0.3991760161393979
remainder__external_popularity_score,0.2522572483898517
num__external_votes_log,0.09298968142697518
num__external_score_log,0.08198026997199233
num__external_bbe_ratings_3_share,0.03600644545643006
cat__publication_decade_2010.0,0.03145582067386198
remainder__external_rating,0.01493720395209591
num__external_bbe_ratings_5_share,0.013882251306892185
remainder__has_award_final,0.009069307144232375
num__external_bbe_ratings_2_share,0.009057185342336401
remainder__in_series,0.006810985215203919
cat__publication_decade_2000.0,0.006162951622253067
num__external_likedpct,0.004632861186703425
remainder__author_book_count_log,0.002715081270886263
remainder__external_score_log_was_missing,0.002664903596091303
remainder__external_bbe_ratings_3_share_was_missing,0.0021527911452311277
cat__publication_year_1954.0,0.0020238380216141736
num__external_bbe_ratings_4_share,0.0020180871573894513
remainder__external_bbe_ratings_2_share_was_missing,0.0019957376931122907
num__external_bbe_ratings_1_share,0.0018393346262842226
num__pages_log,0.0017027574091134266
remainder__external_votes_log_was_missing,0.0014483816770847454
remainder__genre_count,0.0014050963375980851
cat__publication_year_1818.0,0.001333151179103079
remainder__external_bbe_ratings_1_share_was_missing,0.0012857137900453843
cat__publication_year_2010.0,0.0012382422422352315
remainder__description_word_count_log,0.0011635653141492755
remainder__description_length_log,0.0010465385414264075
remainder__publisher_book_count_log,0.0008295632839774811
cat__publication_decade_1940.0,0.0007965019123215568
cat__publication_year_2012.0,0.0007052654380270304
remainder__is_top_author,0.000638190055289101
remainder__external_numratings_log_was_missing,0.0006167965890651636
remainder__is_major_publisher_final,0.000563181060264524
cat__publication_year_1939.0,0.00047347379056035825
remainder__external_bbe_ratings_4_share_was_missing,0.0004430871775668069
cat__publication_year_1934.0,0.000439396726457438
remainder__metadata_score,0.0004205660552913297
remainder__is_top_genre,0.0004204577189786091
cat__publication_year_2009.0,0.00041370913557990533
cat__publication_year_1965.0,0.0004090406093295884
remainder__has_genres,0.0003841968071313884
cat__publication_year_2016.0,0.0003839260009691829
remainder__external_bbe_ratings_5_share_was_missing,0.0003807230349927282
cat__publication_year_2008.0,0.000377120060621335
cat__publication_decade_1990.0,0.0003509613690894162
cat__publication_year_2015.0,0.00032192624531023783
cat__publication_year_2011.0,0.00030760710936006934
cat__publication_year_1962.0,0.0002942702628225245
