feature,importance
num__external_bbe_ratings_5,0.8118541730990996
remainder__external_popularity_score,0.027928992886998585
cat__publication_decade_2010.0,0.017197592900308277
num__pages_log,0.01683023703072744
num__external_bbe_ratings_4_share,0.012129284020693973
remainder__author_book_count_log,0.012084698419342465
remainder__description_word_count_log,0.009243848493884101
remainder__description_length_log,0.009192481164212703
remainder__publisher_book_count_log,0.008685779027976128
num__external_bbe_ratings_3_share,0.005860076066837851
remainder__in_series,0.00405044992418622
cat__publication_decade_2000.0,0.0032702231494119573
num__external_bbe_ratings_1_share,0.003244269361902655
num__external_bbe_ratings_4,0.003167526592467395
num__external_score_log,0.002384461413086897
cat__publication_year_1954.0,0.002090839782051907
remainder__external_rating,0.0019266073385586127
num__external_bbe_ratings_2_share,0.00190641073097116
num__external_bbe_ratings_5_share,0.0016220159208218423
remainder__has_award_final,0.001617430397968465
remainder__metadata_score,0.00157036360899499
remainder__genre_count,0.0014496353899431382
cat__publication_year_2012.0,0.0014088003450751297
num__external_numratings_log,0.0014053580606610025
num__external_votes_log,0.0013838570837566037
cat__publication_year_1965.0,0.0013807587204696977
num__external_bbe_ratings_1,0.0013476276464784945
cat__publication_year_1818.0,0.0012235163266566152
cat__publication_year_1945.0,0.0011223121300547075
cat__publication_year_1962.0,0.0011080036099398384
cat__publication_year_1955.0,0.001098749707330641
cat__publication_year_1997.0,0.0010592557912589224
cat__publication_year_2010.0,0.0010536055805658124
cat__publication_year_1979.0,0.001046479345839717
num__external_bbe_ratings_2,0.0010076935508543518
num__external_bbe_ratings_3,0.0009962955079425065
cat__publication_year_2015.0,0.00089884251303986
cat__publication_year_1939.0,0.0008555355509746206
remainder__pages_log_was_missing,0.0007923396596122293
cat__publication_year_2009.0,0.0007645480485860219
cat__publication_year_1934.0,0.0007602247164858856
remainder__is_major_publisher_final,0.0007472948995577796
num__external_likedpct,0.0007464808891647914
cat__publication_year_1988.0,0.0007274514591868545
cat__publication_year_2013.0,0.0007125017519022779
cat__publication_year_2008.0,0.0006371142598805264
cat__publication_year_2011.0,0.0006117593892264655
cat__publication_year_2016.0,0.0005995875599918076
cat__publication_year_2014.0,0.0005934340470271932
cat__publication_year_1995.0,0.0005789034867981431
cat__publication_year_2001.0,0.0005624998682811252
cat__publication_year_1999.0,0.0005504654309562135
cat__publication_year_2007.0,0.0005412006838404264
cat__publication_year_2005.0,0.0004792201288596447
cat__publication_decade_1980.0,0.000470581076376734
cat__publication_year_1982.0,0.00046407286099257004
cat__publication_year_1996.0,0.0004621700921133357
cat__publication_decade_1990.0,0.0004270643301978617
remainder__is_top_author,0.00041268499086857
cat__publication_year_1960.0,0.0004083155986618945
cat__publication_year_1990.0,0.00040453944817306635
cat__publication_year_1942.0,0.0003703564329574751
